Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000799999980 CH2:0.0000799999980,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.81919997931,0.38000,0.34000
Vertical Scale,CH1:0.50 CH2:0.50,,-0.81911998987,0.38000,0.34000
Vertical Offset,CH1:-1.50000 CH2:-1.50000,,-0.81904000044,0.38000,0.34000
Horizontal Units,s,,-0.81895995140,0.38000,0.34000
Horizontal Scale,0.0500000007,,-0.81887996197,0.36000,0.34000
Model Number,SDS1102CNL+,,-0.81879997253,0.38000,0.34000
Serial Number,SDS10BA3163724,,-0.81871998310,0.38000,0.34000
Software Version,6.01.01.17,,-0.81863999367,0.38000,0.34000
,,,-0.81856000423,0.36000,0.34000
,,,-0.81847995520,0.36000,0.38000
,,,-0.81839996576,0.38000,0.34000
,,,-0.81831997633,0.36000,0.34000
,,,-0.81823998690,0.36000,0.34000
,,,-0.81815999746,0.36000,0.34000
,,,-0.81808000803,0.38000,0.34000
,,,-0.81799995899,0.38000,0.34000
,,,-0.81791996956,0.38000,0.34000
,,,-0.81783998013,0.38000,0.34000
,,,-0.81775999069,0.38000,0.38000
,,,-0.81768000126,0.38000,0.34000
,,,-0.81759995222,0.40000,0.34000
,,,-0.81751996279,0.38000,0.36000
,,,-0.81743997335,0.38000,0.34000
,,,-0.81735998392,0.38000,0.38000
,,,-0.81727999449,0.38000,0.34000
,,,-0.81720000505,0.38000,0.36000
,,,-0.81711995602,0.40000,0.38000
,,,-0.81703996658,0.38000,0.38000
,,,-0.81695997715,0.38000,0.38000
,,,-0.81687998772,0.40000,0.34000
,,,-0.81679999828,0.38000,0.38000
,,,-0.81672000885,0.40000,0.38000
,,,-0.81663995981,0.38000,0.38000
,,,-0.81655997038,0.38000,0.38000
,,,-0.81647998095,0.40000,0.38000
,,,-0.81639999151,0.38000,0.34000
,,,-0.81632000208,0.40000,0.38000
,,,-0.81623995304,0.38000,0.38000
,,,-0.81615996361,0.40000,0.38000
,,,-0.81607997417,0.40000,0.38000
,,,-0.81599998474,0.40000,0.38000
,,,-0.81591999531,0.40000,0.38000
,,,-0.81584000587,0.38000,0.38000
,,,-0.81575995684,0.40000,0.38000
,,,-0.81567996740,0.40000,0.38000
,,,-0.81559997797,0.40000,0.38000
,,,-0.81551998854,0.40000,0.38000
,,,-0.81543999910,0.40000,0.40000
,,,-0.81535995007,0.40000,0.40000
,,,-0.81527996063,0.42000,0.38000
,,,-0.81519997120,0.40000,0.40000
,,,-0.81511998177,0.42000,0.40000
,,,-0.81503999233,0.42000,0.40000
,,,-0.81496000290,0.42000,0.38000
,,,-0.81487995386,0.40000,0.40000
,,,-0.81479996443,0.44000,0.40000
,,,-0.81471997499,0.42000,0.40000
,,,-0.81463998556,0.42000,0.40000
,,,-0.81455999613,0.44000,0.42000
,,,-0.81448000669,0.44000,0.40000
,,,-0.81439995766,0.42000,0.40000
,,,-0.81431996822,0.42000,0.42000
,,,-0.81423997879,0.44000,0.42000
,,,-0.81415998936,0.42000,0.42000
,,,-0.81407999992,0.46000,0.42000
,,,-0.81399995089,0.44000,0.42000
,,,-0.81391996145,0.44000,0.42000
,,,-0.81383997202,0.44000,0.42000
,,,-0.81375998259,0.46000,0.42000
,,,-0.81367999315,0.44000,0.42000
,,,-0.81360000372,0.42000,0.42000
,,,-0.81351995468,0.44000,0.42000
,,,-0.81343996525,0.46000,0.46000
,,,-0.81335997581,0.44000,0.44000
,,,-0.81327998638,0.46000,0.44000
,,,-0.81319999695,0.46000,0.46000
,,,-0.81312000751,0.46000,0.44000
,,,-0.81303995848,0.46000,0.46000
,,,-0.81295996904,0.46000,0.44000
,,,-0.81287997961,0.46000,0.46000
,,,-0.81279999018,0.46000,0.46000
,,,-0.81272000074,0.48000,0.46000
,,,-0.81263995171,0.48000,0.46000
,,,-0.81255996227,0.46000,0.46000
,,,-0.81247997284,0.46000,0.46000
,,,-0.81239998341,0.48000,0.46000
,,,-0.81231999397,0.48000,0.46000
,,,-0.81224000454,0.48000,0.46000
,,,-0.81215995550,0.48000,0.48000
,,,-0.81207996607,0.48000,0.50000
,,,-0.81199997663,0.48000,0.48000
,,,-0.81191998720,0.50000,0.48000
,,,-0.81183999777,0.50000,0.48000
,,,-0.81176000834,0.50000,0.48000
,,,-0.81167995930,0.50000,0.50000
,,,-0.81159996986,0.50000,0.48000
,,,-0.81151998043,0.52000,0.50000
,,,-0.81143999100,0.52000,0.50000
