Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000040000 CH2:0.0000000040000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00004096000,1.50000,1.62000
Vertical Scale,CH1:0.50 CH2:0.50,,-0.00004095600,1.54000,1.64000
Vertical Offset,CH1:-1.50000 CH2:-1.50000,,-0.00004095200,1.50000,1.64000
Horizontal Units,s,,-0.00004094800,1.52000,1.64000
Horizontal Scale,0.0000005000,,-0.00004094400,1.52000,1.66000
Model Number,SDS1102CNL+,,-0.00004094000,1.50000,1.70000
Serial Number,SDS10BA3163724,,-0.00004093600,1.54000,1.68000
Software Version,6.01.01.17,,-0.00004093200,1.52000,1.70000
,,,-0.00004092800,1.52000,1.70000
,,,-0.00004092400,1.52000,1.70000
,,,-0.00004092000,1.50000,1.72000
,,,-0.00004091600,1.54000,1.72000
,,,-0.00004091200,1.52000,1.74000
,,,-0.00004090800,1.52000,1.74000
,,,-0.00004090400,1.50000,1.74000
,,,-0.00004090000,1.52000,1.74000
,,,-0.00004089600,1.54000,1.76000
,,,-0.00004089200,1.52000,1.78000
,,,-0.00004088800,1.52000,1.76000
,,,-0.00004088400,1.52000,1.76000
,,,-0.00004088000,1.52000,1.78000
,,,-0.00004087600,1.54000,1.78000
,,,-0.00004087200,1.52000,1.82000
,,,-0.00004086800,1.52000,1.80000
,,,-0.00004086400,1.52000,1.80000
,,,-0.00004086000,1.54000,1.82000
,,,-0.00004085600,1.54000,1.82000
,,,-0.00004085200,1.52000,1.82000
,,,-0.00004084800,1.54000,1.82000
,,,-0.00004084400,1.52000,1.82000
,,,-0.00004084000,1.52000,1.84000
,,,-0.00004083600,1.54000,1.84000
,,,-0.00004083200,1.52000,1.86000
,,,-0.00004082800,1.52000,1.84000
,,,-0.00004082400,1.52000,1.84000
,,,-0.00004082000,1.52000,1.86000
,,,-0.00004081600,1.50000,1.88000
,,,-0.00004081200,1.52000,1.88000
,,,-0.00004080800,1.52000,1.86000
,,,-0.00004080400,1.52000,1.86000
,,,-0.00004080000,1.52000,1.88000
,,,-0.00004079600,1.54000,1.86000
,,,-0.00004079200,1.54000,1.90000
,,,-0.00004078800,1.54000,1.90000
,,,-0.00004078400,1.52000,1.88000
,,,-0.00004078000,1.52000,1.90000
,,,-0.00004077600,1.54000,1.88000
,,,-0.00004077200,1.52000,1.90000
,,,-0.00004076800,1.52000,1.88000
,,,-0.00004076400,1.52000,1.90000
,,,-0.00004076000,1.50000,1.90000
,,,-0.00004075600,1.54000,1.88000
,,,-0.00004075200,1.52000,1.90000
,,,-0.00004074800,1.52000,1.88000
,,,-0.00004074400,1.56000,1.90000
,,,-0.00004074000,1.50000,1.90000
,,,-0.00004073600,1.54000,1.88000
,,,-0.00004073200,1.52000,1.90000
,,,-0.00004072800,1.52000,1.88000
,,,-0.00004072400,1.56000,1.88000
,,,-0.00004072000,1.50000,1.90000
,,,-0.00004071600,1.54000,1.88000
,,,-0.00004071200,1.52000,1.86000
,,,-0.00004070800,1.52000,1.88000
,,,-0.00004070400,1.52000,1.84000
,,,-0.00004070000,1.52000,1.86000
,,,-0.00004069600,1.54000,1.86000
,,,-0.00004069200,1.52000,1.86000
,,,-0.00004068800,1.52000,1.86000
,,,-0.00004068400,1.54000,1.82000
,,,-0.00004068000,1.50000,1.86000
,,,-0.00004067600,1.54000,1.84000
,,,-0.00004067200,1.52000,1.86000
,,,-0.00004066800,1.52000,1.84000
,,,-0.00004066400,1.52000,1.82000
,,,-0.00004066000,1.52000,1.84000
