Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000008000000 CH2:0.0000008000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00819199998,1.14000,1.10000
Vertical Scale,CH1:0.50 CH2:0.50,,-0.00819119997,1.14000,1.10000
Vertical Offset,CH1:-1.50000 CH2:-1.50000,,-0.00819039997,1.14000,1.10000
Horizontal Units,s,,-0.00818959996,1.14000,1.10000
Horizontal Scale,0.0005000000,,-0.00818879995,1.14000,1.10000
Model Number,SDS1102CNL+,,-0.00818799995,1.14000,1.10000
Serial Number,SDS10BA3163724,,-0.00818719994,1.16000,1.10000
Software Version,6.01.01.17,,-0.00818639994,1.14000,1.10000
,,,-0.00818559993,1.14000,1.10000
,,,-0.00818479992,1.14000,1.10000
,,,-0.00818399992,1.16000,1.10000
,,,-0.00818319991,1.14000,1.10000
,,,-0.00818239991,1.14000,1.12000
,,,-0.00818159990,1.14000,1.12000
,,,-0.00818079989,1.14000,1.12000
,,,-0.00817999989,1.12000,1.12000
,,,-0.00817919988,1.14000,1.12000
,,,-0.00817839988,1.14000,1.12000
,,,-0.00817759987,1.14000,1.12000
,,,-0.00817679986,1.12000,1.12000
,,,-0.00817599986,1.14000,1.12000
,,,-0.00817519985,1.14000,1.12000
,,,-0.00817439985,1.14000,1.12000
,,,-0.00817359984,1.12000,1.12000
,,,-0.00817279983,1.14000,1.12000
,,,-0.00817199983,1.14000,1.12000
,,,-0.00817119982,1.14000,1.14000
,,,-0.00817039981,1.14000,1.12000
,,,-0.00816959981,1.12000,1.12000
,,,-0.00816879980,1.14000,1.14000
,,,-0.00816799980,1.14000,1.14000
,,,-0.00816719979,1.14000,1.14000
,,,-0.00816639978,1.16000,1.14000
,,,-0.00816559978,1.16000,1.14000
,,,-0.00816479977,1.14000,1.14000
,,,-0.00816399977,1.14000,1.14000
,,,-0.00816319976,1.14000,1.14000
,,,-0.00816239975,1.14000,1.14000
,,,-0.00816159975,1.14000,1.14000
,,,-0.00816079974,1.14000,1.14000
,,,-0.00815999974,1.14000,1.18000
,,,-0.00815919973,1.14000,1.14000
,,,-0.00815839972,1.12000,1.18000
,,,-0.00815759972,1.12000,1.16000
