Record Length,40000,,Source,CH1,CH2
Sample Interval,CH1:0.0000999999975 CH2:0.0000999999975,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-2.00000000000,2.10000,2.10000
Vertical Scale,CH1:0.50 CH2:0.50,,-1.99989998341,2.08000,2.10000
Vertical Offset,CH1:-1.50000 CH2:-1.50000,,-1.99979996681,2.10000,2.10000
Horizontal Units,s,,-1.99969995022,2.10000,2.10000
Horizontal Scale,0.2500000000,,-1.99959993362,2.10000,2.12000
Model Number,SDS1102CNL+,,-1.99949991703,2.10000,2.12000
Serial Number,SDS10BA3163724,,-1.99939990044,2.10000,2.10000
Software Version,6.01.01.17,,-1.99930000305,2.10000,2.10000
,,,-1.99919998646,2.10000,2.10000
,,,-1.99909996986,2.08000,2.10000
,,,-1.99899995327,2.10000,2.10000
,,,-1.99889993668,2.10000,2.12000
,,,-1.99879992008,2.10000,2.14000
,,,-1.99869990349,2.12000,2.10000
,,,-1.99860000610,2.10000,2.12000
,,,-1.99849998951,2.10000,2.10000
,,,-1.99839997292,2.10000,2.14000
,,,-1.99829995632,2.12000,2.14000
,,,-1.99819993973,2.10000,2.10000
,,,-1.99809992313,2.10000,2.14000
,,,-1.99799990654,2.10000,2.14000
,,,-1.99789988995,2.12000,2.14000
,,,-1.99779999256,2.12000,2.10000
,,,-1.99769997597,2.10000,2.14000
,,,-1.99759995937,2.12000,2.14000
,,,-1.99749994278,2.12000,2.12000
,,,-1.99739992619,2.10000,2.12000
,,,-1.99729990959,2.10000,2.14000
,,,-1.99719989300,2.10000,2.12000
,,,-1.99709999561,2.10000,2.14000
,,,-1.99699997902,2.10000,2.14000
,,,-1.99689996243,2.12000,2.10000
,,,-1.99679994583,2.12000,2.14000
,,,-1.99669992924,2.10000,2.12000
,,,-1.99659991264,2.12000,2.14000
,,,-1.99649989605,2.12000,2.14000
,,,-1.99639999866,2.12000,2.14000
,,,-1.99629998207,2.12000,2.10000
,,,-1.99619996548,2.12000,2.14000
,,,-1.99609994888,2.12000,2.14000
,,,-1.99599993229,2.12000,2.14000
,,,-1.99589991570,2.12000,2.14000
,,,-1.99579989910,2.12000,2.14000
,,,-1.99570000172,2.12000,2.14000
,,,-1.99559998512,2.12000,2.14000
,,,-1.99549996853,2.10000,2.14000
,,,-1.99539995193,2.12000,2.14000
,,,-1.99529993534,2.12000,2.14000
,,,-1.99519991875,2.12000,2.14000
,,,-1.99509990215,2.14000,2.14000
,,,-1.99500000477,2.08000,2.06000
,,,-1.99489998817,2.08000,2.06000
,,,-1.99479997158,2.06000,2.10000
,,,-1.99469995499,2.06000,2.10000
,,,-1.99459993839,2.06000,2.10000
,,,-1.99449992180,2.08000,2.08000
,,,-1.99439990520,2.08000,2.08000
,,,-1.99430000782,2.08000,2.08000
,,,-1.99419999123,2.08000,2.08000
,,,-1.99409997463,2.08000,2.08000
,,,-1.99399995804,2.08000,2.10000
,,,-1.99389994144,2.08000,2.10000
,,,-1.99379992485,2.10000,2.08000
,,,-1.99369990826,2.08000,2.08000
,,,-1.99359989166,2.08000,2.10000
,,,-1.99349999428,2.08000,2.08000
,,,-1.99339997768,2.08000,2.08000
,,,-1.99329996109,2.08000,2.10000
,,,-1.99319994450,2.08000,2.10000
,,,-1.99309992790,2.08000,2.10000
,,,-1.99299991131,2.08000,2.10000
,,,-1.99289989471,2.08000,2.10000
,,,-1.99279999733,2.10000,2.08000
,,,-1.99269998074,2.08000,2.10000
,,,-1.99259996414,2.08000,2.10000
,,,-1.99249994755,2.08000,2.10000
,,,-1.99239993095,2.10000,2.10000
,,,-1.99229991436,2.08000,2.10000
,,,-1.99219989777,2.10000,2.10000
,,,-1.99210000038,2.10000,2.10000
,,,-1.99199998379,2.10000,2.10000
,,,-1.99189996719,2.08000,2.10000
,,,-1.99179995060,2.08000,2.10000
,,,-1.99169993401,2.10000,2.10000
,,,-1.99159991741,2.08000,2.10000
,,,-1.99149990082,2.10000,2.10000
,,,-1.99140000343,2.08000,2.10000
,,,-1.99129998684,2.12000,2.10000
,,,-1.99119997025,2.12000,2.12000
,,,-1.99109995365,2.10000,2.10000
,,,-1.99099993706,2.08000,2.10000
,,,-1.99089992046,2.10000,2.10000
,,,-1.99079990387,2.10000,2.10000
,,,-1.99070000648,2.08000,2.10000
,,,-1.99059998989,2.10000,2.10000
,,,-1.99049997330,2.08000,2.10000
,,,-1.99039995670,2.10000,2.14000
,,,-1.99029994011,2.12000,2.12000
,,,-1.99019992352,2.10000,2.10000
,,,-1.99009990692,2.10000,2.10000
,,,-1.98999989033,2.10000,2.12000
,,,-1.98989999294,2.10000,2.10000
,,,-1.98979997635,2.10000,2.12000
,,,-1.98969995975,2.10000,2.10000
,,,-1.98959994316,2.12000,2.12000
,,,-1.98949992657,2.12000,2.10000
,,,-1.98939990997,2.12000,2.12000
,,,-1.98929989338,2.12000,2.10000
,,,-1.98919999599,2.12000,2.10000
,,,-1.98909997940,2.10000,2.14000
,,,-1.98899996281,2.10000,2.14000
,,,-1.98889994621,2.12000,2.12000
,,,-1.98879992962,2.12000,2.10000
,,,-1.98869991302,2.12000,2.14000
,,,-1.98859989643,2.12000,2.14000
,,,-1.98849999905,2.12000,2.14000
,,,-1.98839998245,2.12000,2.10000
,,,-1.98829996586,2.12000,2.14000
,,,-1.98819994926,2.12000,2.14000
,,,-1.98809993267,2.12000,2.14000
,,,-1.98799991608,2.10000,2.14000
,,,-1.98789989948,2.12000,2.14000
,,,-1.98780000210,2.12000,2.14000
,,,-1.98769998550,2.12000,2.14000
,,,-1.98759996891,2.12000,2.14000
,,,-1.98749995232,2.12000,2.14000
,,,-1.98739993572,2.12000,2.14000
,,,-1.98729991913,2.12000,2.14000
,,,-1.98719990253,2.12000,2.14000
,,,-1.98710000515,2.12000,2.14000
,,,-1.98699998856,2.12000,2.14000
,,,-1.98689997196,2.12000,2.14000
,,,-1.98679995537,2.12000,2.14000
,,,-1.98669993877,2.12000,2.14000
,,,-1.98659992218,2.12000,2.14000
,,,-1.98649990559,2.12000,2.14000
,,,-1.98640000820,2.12000,2.14000
,,,-1.98629999161,2.12000,2.14000
,,,-1.98619997501,2.12000,2.14000
,,,-1.98609995842,2.12000,2.14000
,,,-1.98599994183,2.12000,2.14000
,,,-1.98589992523,2.14000,2.14000
,,,-1.98579990864,2.14000,2.14000
,,,-1.98569989204,2.12000,2.16000
,,,-1.98559999466,2.14000,2.14000
,,,-1.98549997807,2.12000,2.16000
,,,-1.98539996147,2.14000,2.14000
,,,-1.98529994488,2.14000,2.14000
,,,-1.98519992828,2.12000,2.14000
,,,-1.98509991169,2.14000,2.14000
,,,-1.98499989510,2.14000,2.14000
,,,-1.98489999771,2.12000,2.16000
,,,-1.98479998112,2.14000,2.16000
,,,-1.98469996452,2.14000,2.14000
,,,-1.98459994793,2.16000,2.14000
,,,-1.98449993134,2.12000,2.16000
,,,-1.98439991474,2.14000,2.16000
,,,-1.98429989815,2.14000,2.16000
,,,-1.98420000076,2.14000,2.14000
,,,-1.98409998417,2.14000,2.14000
,,,-1.98399996758,2.14000,2.14000
,,,-1.98389995098,2.14000,2.14000
,,,-1.98379993439,2.14000,2.16000
,,,-1.98369991779,2.14000,2.16000
,,,-1.98359990120,2.14000,2.14000
,,,-1.98350000381,2.14000,2.16000
,,,-1.98339998722,2.14000,2.16000
,,,-1.98329997063,2.14000,2.16000
,,,-1.98319995403,2.14000,2.16000
,,,-1.98309993744,2.14000,2.16000
,,,-1.98299992085,2.12000,2.18000
,,,-1.98289990425,2.14000,2.14000
,,,-1.98280000687,2.14000,2.16000
,,,-1.98269999027,2.14000,2.16000
,,,-1.98259997368,2.16000,2.16000
,,,-1.98249995708,2.16000,2.16000
,,,-1.98239994049,2.16000,2.16000
,,,-1.98229992390,2.16000,2.18000
,,,-1.98219990730,2.14000,2.16000
,,,-1.98209989071,2.16000,2.16000
,,,-1.98199999332,2.16000,2.16000
,,,-1.98189997673,2.16000,2.18000
,,,-1.98179996014,2.16000,2.16000
,,,-1.98169994354,2.16000,2.16000
,,,-1.98159992695,2.14000,2.16000
,,,-1.98149991035,2.14000,2.18000
,,,-1.98139989376,2.14000,2.16000
,,,-1.98129999638,2.14000,2.16000
,,,-1.98119997978,2.16000,2.16000
,,,-1.98109996319,2.14000,2.18000
,,,-1.98099994659,2.14000,2.18000
,,,-1.98089993000,2.16000,2.18000
,,,-1.98079991341,2.18000,2.16000
,,,-1.98069989681,2.16000,2.16000
,,,-1.98059999943,2.14000,2.18000
,,,-1.98049998283,2.16000,2.18000
,,,-1.98039996624,2.16000,2.18000
,,,-1.98029994965,2.16000,2.18000
,,,-1.98019993305,2.16000,2.18000
,,,-1.98009991646,2.16000,2.18000
,,,-1.97999989986,2.16000,2.18000
,,,-1.97990000248,2.16000,2.18000
,,,-1.97979998589,2.18000,2.18000
,,,-1.97969996929,2.18000,2.18000
,,,-1.97959995270,2.16000,2.18000
,,,-1.97949993610,2.18000,2.18000
,,,-1.97939991951,2.18000,2.18000
,,,-1.97929990292,2.16000,2.18000
,,,-1.97920000553,2.16000,2.18000
,,,-1.97909998894,2.16000,2.16000
,,,-1.97899997234,2.18000,2.18000
,,,-1.97889995575,2.18000,2.18000
,,,-1.97879993916,2.18000,2.18000
,,,-1.97869992256,2.18000,2.18000
,,,-1.97859990597,2.18000,2.18000
,,,-1.97850000858,2.16000,2.18000
,,,-1.97839999199,2.18000,2.18000
,,,-1.97829997540,2.18000,2.18000
,,,-1.97819995880,2.18000,2.18000
,,,-1.97809994221,2.16000,2.18000
,,,-1.97799992561,2.18000,2.18000
,,,-1.97789990902,2.18000,2.18000
,,,-1.97779989243,2.18000,2.18000
,,,-1.97769999504,2.18000,2.18000
,,,-1.97759997845,2.18000,2.18000
,,,-1.97749996185,2.18000,2.18000
,,,-1.97739994526,2.18000,2.20000
,,,-1.97729992867,2.18000,2.18000
,,,-1.97719991207,2.18000,2.20000
,,,-1.97709989548,2.18000,2.18000
,,,-1.97699999809,2.20000,2.18000
,,,-1.97689998150,2.18000,2.18000
,,,-1.97679996490,2.18000,2.18000
,,,-1.97669994831,2.20000,2.20000
,,,-1.97659993172,2.20000,2.22000
,,,-1.97649991512,2.20000,2.18000
,,,-1.97639989853,2.20000,2.18000
,,,-1.97630000114,2.18000,2.20000
,,,-1.97619998455,2.18000,2.18000
,,,-1.97609996796,2.20000,2.20000
,,,-1.97599995136,2.18000,2.18000
,,,-1.97589993477,2.20000,2.20000
,,,-1.97579991817,2.20000,2.20000
,,,-1.97569990158,2.20000,2.18000
,,,-1.97560000420,2.20000,2.22000
,,,-1.97549998760,2.20000,2.22000
,,,-1.97539997101,2.20000,2.18000
,,,-1.97529995441,2.20000,2.18000
,,,-1.97519993782,2.20000,2.20000
,,,-1.97509992123,2.20000,2.22000
,,,-1.97499990463,2.20000,2.22000
,,,-1.97490000725,2.20000,2.22000
,,,-1.97479999065,2.20000,2.22000
,,,-1.97469997406,2.20000,2.22000
,,,-1.97459995747,2.18000,2.20000
,,,-1.97449994087,2.20000,2.20000
,,,-1.97439992428,2.18000,2.22000
,,,-1.97429990768,2.20000,2.22000
,,,-1.97419989109,2.20000,2.22000
,,,-1.97409999371,2.20000,2.18000
,,,-1.97399997711,2.20000,2.22000
,,,-1.97389996052,2.20000,2.22000
,,,-1.97379994392,2.20000,2.22000
,,,-1.97369992733,2.22000,2.22000
,,,-1.97359991074,2.22000,2.22000
,,,-1.97349989414,2.20000,2.22000
,,,-1.97339999676,2.20000,2.22000
,,,-1.97329998016,2.20000,2.22000
,,,-1.97319996357,2.20000,2.22000
,,,-1.97309994698,2.20000,2.22000
,,,-1.97299993038,2.20000,2.22000
