Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000080000000 CH2:0.0000080000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.08191999793,1.64000,1.74000
Vertical Scale,CH1:0.50 CH2:0.50,,-0.08191200346,1.66000,1.74000
Vertical Offset,CH1:-1.50000 CH2:-1.50000,,-0.08190400153,1.64000,1.76000
Horizontal Units,s,,-0.08189599961,1.66000,1.74000
Horizontal Scale,0.0049999999,,-0.08188799769,1.66000,1.74000
Model Number,SDS1102CNL+,,-0.08188000321,1.66000,1.76000
Serial Number,SDS10BA3163724,,-0.08187200129,1.66000,1.74000
Software Version,6.01.01.17,,-0.08186399937,1.66000,1.76000
,,,-0.08185599744,1.66000,1.78000
,,,-0.08184800297,1.70000,1.78000
,,,-0.08184000105,1.70000,1.78000
,,,-0.08183199912,1.68000,1.78000
,,,-0.08182399720,1.68000,1.78000
,,,-0.08181600273,1.68000,1.82000
,,,-0.08180800080,1.72000,1.78000
,,,-0.08179999888,1.70000,1.78000
,,,-0.08179199696,1.70000,1.78000
,,,-0.08178400248,1.72000,1.82000
,,,-0.08177600056,1.72000,1.80000
,,,-0.08176799864,1.72000,1.82000
,,,-0.08175999671,1.72000,1.82000
,,,-0.08175200224,1.72000,1.82000
,,,-0.08174400032,1.72000,1.82000
,,,-0.08173599839,1.74000,1.82000
,,,-0.08172799647,1.72000,1.82000
,,,-0.08172000200,1.74000,1.82000
,,,-0.08171200007,1.74000,1.84000
,,,-0.08170399815,1.72000,1.84000
,,,-0.08169599622,1.74000,1.84000
,,,-0.08168800175,1.74000,1.84000
,,,-0.08167999983,1.74000,1.84000
,,,-0.08167199790,1.74000,1.86000
,,,-0.08166400343,1.76000,1.86000
,,,-0.08165600151,1.76000,1.84000
,,,-0.08164799958,1.76000,1.86000
,,,-0.08163999766,1.78000,1.86000
,,,-0.08163200319,1.78000,1.86000
,,,-0.08162400126,1.78000,1.86000
,,,-0.08161599934,1.78000,1.86000
,,,-0.08160799742,1.78000,1.86000
,,,-0.08160000294,1.78000,1.86000
,,,-0.08159200102,1.78000,1.86000
,,,-0.08158399910,1.80000,1.88000
,,,-0.08157599717,1.80000,1.86000
,,,-0.08156800270,1.80000,1.90000
,,,-0.08156000078,1.80000,1.90000
,,,-0.08155199885,1.80000,1.90000
,,,-0.08154399693,1.82000,1.90000
,,,-0.08153600246,1.80000,1.90000
,,,-0.08152800053,1.80000,1.90000
,,,-0.08151999861,1.82000,1.90000
,,,-0.08151199669,1.80000,1.92000
,,,-0.08150400221,1.82000,1.92000
,,,-0.08149600029,1.82000,1.92000
,,,-0.08148799837,1.82000,1.92000
,,,-0.08147999644,1.84000,1.92000
,,,-0.08147200197,1.82000,1.94000
,,,-0.08146400005,1.82000,1.92000
,,,-0.08145599812,1.84000,1.94000
,,,-0.08144799620,1.86000,1.94000
,,,-0.08144000173,1.84000,1.94000
,,,-0.08143199980,1.84000,1.94000
,,,-0.08142399788,1.84000,1.94000
,,,-0.08141600341,1.86000,1.94000
,,,-0.08140800148,1.84000,1.94000
,,,-0.08139999956,1.86000,1.94000
,,,-0.08139199764,1.86000,1.96000
,,,-0.08138400316,1.86000,1.98000
,,,-0.08137600124,1.88000,1.98000
,,,-0.08136799932,1.86000,1.98000
,,,-0.08135999739,1.88000,1.98000
,,,-0.08135200292,1.88000,1.98000
,,,-0.08134400100,1.90000,1.98000
,,,-0.08133599907,1.90000,1.98000
,,,-0.08132799715,1.88000,1.98000
,,,-0.08132000268,1.90000,1.98000
,,,-0.08131200075,1.90000,1.98000
,,,-0.08130399883,1.90000,1.98000
,,,-0.08129599690,1.88000,1.98000
,,,-0.08128800243,1.90000,1.98000
,,,-0.08128000051,1.92000,2.00000
,,,-0.08127199858,1.90000,2.00000
,,,-0.08126399666,1.90000,2.00000
,,,-0.08125600219,1.92000,2.00000
,,,-0.08124800026,1.94000,2.02000
,,,-0.08123999834,1.94000,2.02000
,,,-0.08123199642,1.92000,2.02000
,,,-0.08122400194,1.96000,2.00000
,,,-0.08121600002,1.94000,2.02000
,,,-0.08120799810,1.94000,2.02000
,,,-0.08119999617,1.92000,2.06000
,,,-0.08119200170,1.94000,2.02000
,,,-0.08118399978,1.96000,2.02000
,,,-0.08117599785,1.96000,2.02000
,,,-0.08116800338,1.96000,2.04000
,,,-0.08116000146,1.96000,2.02000
,,,-0.08115199953,1.98000,2.04000
,,,-0.08114399761,1.96000,2.04000
,,,-0.08113600314,1.98000,2.06000
,,,-0.08112800121,1.98000,2.06000
,,,-0.08111999929,1.98000,2.06000
,,,-0.08111199737,1.96000,2.06000
,,,-0.08110400289,1.98000,2.06000
,,,-0.08109600097,1.98000,2.08000
,,,-0.08108799905,1.98000,2.06000
,,,-0.08107999712,1.98000,2.10000
,,,-0.08107200265,1.98000,2.08000
,,,-0.08106400073,2.00000,2.06000
,,,-0.08105599880,2.00000,2.08000
,,,-0.08104799688,2.00000,2.08000
,,,-0.08104000241,2.02000,2.10000
,,,-0.08103200048,2.00000,2.10000
,,,-0.08102399856,2.02000,2.10000
,,,-0.08101599663,2.02000,2.10000
,,,-0.08100800216,2.02000,2.10000
,,,-0.08100000024,2.02000,2.12000
,,,-0.08099199831,2.02000,2.10000
,,,-0.08098399639,2.02000,2.12000
,,,-0.08097600192,2.02000,2.12000
,,,-0.08096799999,2.04000,2.14000
,,,-0.08095999807,2.04000,2.12000
,,,-0.08095199615,2.04000,2.14000
,,,-0.08094400167,2.04000,2.14000
,,,-0.08093599975,2.04000,2.14000
,,,-0.08092799783,2.04000,2.14000
,,,-0.08092000335,2.04000,2.14000
,,,-0.08091200143,2.04000,2.14000
,,,-0.08090399951,2.06000,2.14000
,,,-0.08089599758,2.06000,2.14000
,,,-0.08088800311,2.06000,2.14000
,,,-0.08088000119,2.06000,2.16000
,,,-0.08087199926,2.06000,2.14000
,,,-0.08086399734,2.06000,2.16000
,,,-0.08085600287,2.06000,2.16000
,,,-0.08084800094,2.06000,2.16000
,,,-0.08083999902,2.08000,2.16000
,,,-0.08083199710,2.08000,2.16000
,,,-0.08082400262,2.10000,2.16000
,,,-0.08081600070,2.10000,2.18000
,,,-0.08080799878,2.10000,2.16000
,,,-0.08079999685,2.10000,2.18000
,,,-0.08079200238,2.10000,2.18000
,,,-0.08078400046,2.10000,2.18000
,,,-0.08077599853,2.10000,2.18000
,,,-0.08076799661,2.08000,2.18000
,,,-0.08076000214,2.10000,2.18000
,,,-0.08075200021,2.10000,2.18000
,,,-0.08074399829,2.12000,2.22000
,,,-0.08073599637,2.10000,2.20000
,,,-0.08072800189,2.12000,2.20000
,,,-0.08071999997,2.12000,2.18000
,,,-0.08071199805,2.12000,2.22000
,,,-0.08070399612,2.12000,2.22000
,,,-0.08069600165,2.12000,2.22000
,,,-0.08068799973,2.12000,2.22000
,,,-0.08067999780,2.12000,2.22000
,,,-0.08067200333,2.12000,2.22000
,,,-0.08066400141,2.14000,2.24000
,,,-0.08065599948,2.14000,2.24000
