X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-6.000000e-02,1.000000e-04
0,2.48e+00,1.00e+00,
1,2.44e+00,9.20e-01,
2,2.48e+00,1.00e+00,
3,2.44e+00,9.20e-01,
4,2.44e+00,1.00e+00,
5,2.48e+00,9.20e-01,
6,2.44e+00,1.00e+00,
7,2.48e+00,9.20e-01,
8,2.48e+00,1.00e+00,
9,2.44e+00,9.20e-01,
10,2.48e+00,1.00e+00,
11,2.44e+00,9.20e-01,
12,2.48e+00,1.00e+00,
13,2.44e+00,9.20e-01,
14,2.48e+00,1.00e+00,
15,2.44e+00,9.20e-01,
16,2.48e+00,1.00e+00,
17,2.44e+00,9.20e-01,
18,2.48e+00,1.00e+00,
19,2.44e+00,9.20e-01,
20,2.48e+00,1.00e+00,
21,2.44e+00,9.20e-01,
22,2.48e+00,1.00e+00,
23,2.44e+00,9.20e-01,
24,2.48e+00,1.00e+00,
25,2.44e+00,9.20e-01,
26,2.44e+00,1.00e+00,
27,2.48e+00,9.20e-01,
28,2.44e+00,1.00e+00,
29,2.48e+00,9.20e-01,
30,2.44e+00,1.00e+00,
31,2.48e+00,9.20e-01,
32,2.44e+00,9.20e-01,
33,2.48e+00,1.00e+00,
34,2.44e+00,1.00e+00,
35,2.48e+00,9.20e-01,
36,2.44e+00,1.00e+00,
37,2.48e+00,9.20e-01,
38,2.48e+00,1.00e+00,
39,2.44e+00,9.20e-01,
40,2.44e+00,9.20e-01,
41,2.48e+00,1.00e+00,
42,2.48e+00,9.20e-01,
43,2.44e+00,1.00e+00,
44,2.48e+00,1.00e+00,
45,2.44e+00,9.20e-01,
46,2.48e+00,1.00e+00,
47,2.44e+00,9.20e-01,
48,2.48e+00,1.00e+00,
49,2.44e+00,9.20e-01,
50,2.48e+00,1.00e+00,
51,2.44e+00,9.20e-01,
52,2.48e+00,1.00e+00,
53,2.44e+00,9.20e-01,
54,2.44e+00,1.00e+00,
55,2.48e+00,9.20e-01,
56,2.48e+00,1.00e+00,
57,2.44e+00,9.20e-01,
58,2.48e+00,1.00e+00,
59,2.44e+00,9.20e-01,
60,2.48e+00,1.00e+00,
61,2.44e+00,9.20e-01,
62,2.48e+00,1.00e+00,
63,2.44e+00,9.20e-01,
64,2.44e+00,9.20e-01,
65,2.48e+00,1.00e+00,
66,2.48e+00,1.00e+00,
67,2.44e+00,9.20e-01,
68,2.48e+00,1.00e+00,
69,2.44e+00,9.20e-01,
70,2.48e+00,1.00e+00,
71,2.44e+00,9.20e-01,
72,2.48e+00,1.00e+00,
73,2.44e+00,9.20e-01,
74,2.44e+00,1.00e+00,
